nome_fig,circolo_id,aliases
ARZAGA GOLF CLUB,744,ARZAGA|ARZAGA GOLF CLUB SSD
GARDAGOLF COUNTRY CLUB,743,GARDAGOLF|GARDAGOLF COUNTRY CLUB ASD
FRANCIACORTA GOLF CLUB,33,FRANCIACORTA|ASD FRANCIACORTA GOLF CLUB
GOLF CLUB BOGLIACO,32,BOGLIACO|CIRCOLO DEL GOLF BOGLIACO
GOLF CLUB BRESCIA,31,BRESCIA
GOLF CLUB VARESE,45,VARESE
GOLF CLUB CARIMATE,11,CARIMATE
BARLASSINA,669,
PINETINA,20,
BRIANZA,117,
GOLF CLUB LECCO,56,LECCO
LAGHETTO,57,
GOLF CLUB MONZA,18,MONZA
GOLF CLUB BERGAMO,4,BERGAMO
LAGHI,777,
CA DEGLI ULIVI,92,CA ULIVI|CA' ULIVI|CÀ DEGLI ULIVI|CIRCOLO GOLF CA DEGLI ULIVI
GARDA SAN VIGILIO,7,GARDA|GARDA SAN VIGILIO GOLF CLUB SSD
PARADISO DEL GARDA,35,PARADISO
GOLF CLUB VERONA,48,VERONA
TEE-UP,999,
BE GOLF,998,
